TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2018,4,16,16.0,32.0,12XX SEYMOUR ST,Central Business District,490783.38,5458096.16
Other Theft,2018,4,29,20.0,43.0,12XX SEYMOUR ST,Central Business District,490783.38,5458096.16
Other Theft,2018,5,18,18.0,48.0,12XX SEYMOUR ST,Central Business District,490783.38,5458096.16
Other Theft,2018,8,5,16.0,2.0,12XX SEYMOUR ST,Central Business District,490783.38,5458096.16
Other Theft,2018,8,8,18.0,42.0,12XX SEYMOUR ST,Central Business District,490783.38,5458096.16
Other Theft,2018,8,13,15.0,55.0,12XX SEYMOUR ST,Central Business District,490783.38,5458096.16
Other Theft,2018,8,18,8.0,10.0,12XX SEYMOUR ST,Central Business District,490783.38,5458096.16
Other Theft,2018,9,3,22.0,43.0,12XX SEYMOUR ST,Central Business District,490783.38,5458096.16
Other Theft,2018,9,19,15.0,39.0,12XX SEYMOUR ST,Central Business District,490783.38,5458096.16
Other Theft,2018,10,16,14.0,17.0,12XX SEYMOUR ST,Central Business District,490783.38,5458096.16
Other Theft,2018,10,19,8.0,6.0,12XX SEYMOUR ST,Central Business District,490783.38,5458096.16
Other Theft,2018,11,3,18.0,31.0,12XX SEYMOUR ST,Central Business District,490783.38,5458096.16
Other Theft,2018,11,16,19.0,37.0,12XX SEYMOUR ST,Central Business District,490783.38,5458096.16
Theft of Vehicle,2018,6,5,11.0,45.0,29XX E 15TH AVE,Renfrew-Collingwood,496782.66,5455946.16
Theft from Vehicle,2018,7,10,20.0,0.0,22XX E HASTINGS ST,Grandview-Woodland,495657.56,5458710.41
Theft from Vehicle,2018,1,18,8.0,0.0,2XX E GEORGIA ST,Strathcona,492764.39,5458432.62
Theft from Vehicle,2018,1,28,8.0,30.0,2XX E GEORGIA ST,Strathcona,492764.39,5458432.62
Mischief,2018,4,17,10.0,30.0,4XX E 44TH AVE,Sunset,493033.56,5453052.18
Vehicle Collision or Pedestrian Struck (with Injury),2018,10,24,10.0,17.0,W PENDER ST / GRANVILLE ST,Central Business District,491647.0,5459106.0
Break and Enter Residential/Other,2018,6,1,17.0,0.0,4X W 6TH AVE,Mount Pleasant,492314.61,5456989.87
Mischief,2018,10,14,2.0,43.0,4XX E 43RD AVE,Sunset,493135.19,5453140.61
Theft from Vehicle,2018,2,5,8.0,30.0,2XX E GEORGIA ST,Strathcona,492764.39,5458432.62
Theft of Vehicle,2018,6,25,16.0,0.0,5X E 69TH AVE,Sunset,492311.57,5450745.53
Break and Enter Residential/Other,2018,9,4,21.0,0.0,4X W 20TH AVE,Riley Park,492298.39,5455557.12
Theft of Vehicle,2018,5,14,23.0,0.0,5X E 62ND AVE,Sunset,492332.29,5451276.94
Theft from Vehicle,2018,4,10,7.0,0.0,22XX E KENT AVE N,Victoria-Fraserview,495474.98,5450395.95
Theft of Bicycle,2018,5,11,2.0,0.0,11XX COMMERCIAL DR,Grandview-Woodland,494945.86,5458011.09
Break and Enter Residential/Other,2018,2,8,3.0,45.0,22XX GALT ST,Kensington-Cedar Cottage,495572.14,5454604.16
Theft from Vehicle,2018,11,20,17.0,0.0,22XX E PENDER ST,Grandview-Woodland,495656.46,5458606.02
Break and Enter Commercial,2018,9,19,2.0,20.0,12XX SEYMOUR ST,Central Business District,490805.37,5458105.37
Offence Against a Person,2018,4,7,,,OFFSET TO PROTECT PRIVACY,,0.0,0.0
